-- 근태
-- dml - Attendance1.sql
-- depth4
-- 작성자: 김민도

-- 기준일: 2026-02-06 (금)
-- 휴일 및 년도별 공휴일에는 데이터값 입력하지 않았음
-- 오전입실 확률 85% / 오후입실 확률 10% / 병가확률 5%(입실,퇴실 없음)
-- 오전입실 '정상'(attendanceTypeSeq=1) 입실(8시30분~8시59분59초) -> 퇴실(17시50분~17시59분59초) 확률 90% / '조퇴'(attendanceTypeSeq=4) 퇴실(16시50분~16시59분59초) 확률 10%
-- 오후입실 '지각'(attendanceTypeSeq=2) 입실(14시00분~14시59분59초) 퇴실(17시50분~17시59분59초)
-- '병가'(attendanceTypeSeq=5)

-- registeredCourseSeq 1, java 과정
-- 2024-01-02 시작 ~ 2024-06-30 종료
-- 1강의실 30/30명
INSERT INTO ATTENDANCE VALUES (1, TO_DATE('2024-01-02', 'YYYY-MM-DD'), TO_DATE('2024-01-02 08:07:07', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-02 17:55:01', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (2, TO_DATE('2024-01-03', 'YYYY-MM-DD'), TO_DATE('2024-01-03 08:06:40', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-03 17:56:28', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (3, TO_DATE('2024-01-04', 'YYYY-MM-DD'), TO_DATE('2024-01-04 08:26:26', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-04 17:52:19', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (4, TO_DATE('2024-01-05', 'YYYY-MM-DD'), TO_DATE('2024-01-05 08:01:36', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-05 17:51:37', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (5, TO_DATE('2024-01-08', 'YYYY-MM-DD'), TO_DATE('2024-01-08 08:24:03', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-08 17:57:11', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (6, TO_DATE('2024-01-09', 'YYYY-MM-DD'), TO_DATE('2024-01-09 08:01:42', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-09 17:54:02', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (7, TO_DATE('2024-01-10', 'YYYY-MM-DD'), TO_DATE('2024-01-10 08:00:53', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-10 17:56:43', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (8, TO_DATE('2024-01-11', 'YYYY-MM-DD'), TO_DATE('2024-01-11 08:27:53', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-11 17:52:45', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (9, TO_DATE('2024-01-12', 'YYYY-MM-DD'), TO_DATE('2024-01-12 08:07:42', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-12 17:50:50', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (10, TO_DATE('2024-01-15', 'YYYY-MM-DD'), TO_DATE('2024-01-15 08:10:03', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-15 17:51:50', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (11, TO_DATE('2024-01-16', 'YYYY-MM-DD'), TO_DATE('2024-01-16 14:50:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-16 17:50:55', 'YYYY-MM-DD HH24:MI:SS'), 1, 2);
